Date,guinea_cases,guinea_deaths,liberia_cases,liberia_deaths,sierra_cases,sierra_deaths,total_cases,total_deaths
25-Mar-14,86,59,0,0,0,0,86,59
26-Mar-14,86,60,0,0,0,0,86,60
27-Mar-14,103,66,8,6,6,5,117,77
31-Mar-14,112,70,8,6,0,0,120,76
1-Apr-14,122,80,8,2,0,0,130,82
2-Apr-14,127,83,8,5,0,0,135,88
7-Apr-14,151,95,18,7,0,0,169,102
10-Apr-14,157,101,22,14,0,0,179,115
17-Apr-14,197,122,27,13,0,0,224,135
21-Apr-14,203,129,27,13,0,0,230,142
23-Apr-14,208,136,34,11,0,0,242,147
30-Apr-14,221,146,13,11,0,0,234,157
5-May-14,231,155,13,11,0,0,244,166
14-May-14,233,157,12,11,0,0,245,168
23-May-14,258,174,12,9,0,0,270,183
27-May-14,258,174,12,9,1,4,271,187
28-May-14,281,186,12,9,16,5,309,200
2-Jun-14,291,193,13,9,50,6,354,208
5-Jun-14,344,215,13,9,81,7,438,231
10-Jun-14,372,236,15,10,89,7,476,253
11-Jun-14,376,241,15,10,117,19,508,270
18-Jun-14,398,264,33,24,97,49,528,337
24-Jun-14,390,270,51,34,158,34,599,338
2-Jul-14,413,303,107,65,239,99,759,467
7-Jul-14,412,305,115,75,252,101,779,481
8-Jul-14,408,307,131,84,305,127,844,518
14-Jul-14,409,309,142,88,337,142,888,539
16-Jul-14,406,304,172,105,386,192,964,601
21-Jul-14,410,310,196,116,442,206,1048,632
24-Jul-14,415,314,224,127,454,219,1093,660
28-Jul-14,427,319,249,129,525,224,1201,672
31-Jul-14,460,339,329,156,533,233,1322,728
3-Aug-14,472,346,391,227,574,252,1437,825
4-Aug-14,485,358,486,255,646,273,1617,886
8-Aug-14,495,367,554,294,717,298,1766,959
12-Aug-14,506,373,599,323,730,315,1835,1011
13-Aug-14,510,377,670,355,783,334,1963,1066
15-Aug-14,519,380,786,348,810,348,2115,1076
19-Aug-14,543,394,834,466,848,365,2225,1225
21-Aug-14,579,396,972,576,907,374,2458,1346
22-Aug-14,607,406,1082,624,910,392,2599,1422
28-Aug-14,648,430,1378,694,1026,422,3052,1546
6-Sep-14,812,517,1871,1089,1261,491,3944,2097
8-Sep-14,862,555,2046,1224,1361,509,4269,2288
12-Sep-14,861,557,2081,1137,1424,524,4366,2218
16-Sep-14,936,595,2407,1296,1620,562,4963,2453
18-Sep-14,942,601,2710,1459,1673,562,5325,2622
22-Sep-14,1008,632,3022,1578,1813,593,5843,2803
24-Sep-14,1022,635,3280,1677,1940,597,6242,2909
26-Sep-14,1074,648,3458,1830,2021,605,6553,3083
1-Oct-14,1157,710,3696,1998,2304,622,7157,3330
3-Oct-14,1199,739,3834,2069,2437,623,7470,3431
8-Oct-14,1298,768,3924,2210,2789,879,8011,3857
10-Oct-14,1350,778,4076,2316,2950,930,8376,4024
15-Oct-14,1472,843,4249,2458,3252,1183,8973,4484
17-Oct-14,1519,862,4262,2484,3410,1200,9191,4546
22-Oct-14,1540,904,4665,2705,3706,1359,9911,4968
25-Oct-14,1553,926,4665,2705,3896,1281,10114,4912
29-Oct-14,1906,997,6535,2413,5235,1500,13676,4910
31-Oct-14,1667,1018,6535,2413,5338,1510,13540,4941
5-Nov-14,1731,1041,6525,2697,4759,1070,13015,4808
7-Nov-14,1760,1054,6619,2766,4862,1130,13241,4950
12-Nov-14,1878,1142,6822,2836,5368,1169,14068,5147
14-Nov-14,1919,1166,6878,2812,5586,1187,14383,5165
19-Nov-14,1971,1192,7069,2964,6073,1250,15113,5406
21-Nov-14,2047,1214,7082,2963,6190,1267,15319,5444
26-Nov-14,2134,1260,7168,3016,6599,1398,15901,5674
28-Nov-14,2155,1312,7635,3145,7109,1530,16899,5987
3-Dec-14,2164,1327,7635,3145,7312,1583,17111,6055
10-Dec-14,2292,1428,7719,3177,7897,1768,17908,6373
17-Dec-14,2416,1525,7797,3290,8356,2085,18569,6900
24-Dec-14,2597,1607,7862,3384,9004,2582,19463,7573
31-Dec-14,2707,1708,8018,3423,9446,2758,20171,7889
7-Jan-15,2775,1781,8157,3496,9780,2943,20712,8220
14-Jan-15,2806,1814,8331,3538,10124,3062,21261,8414
21-Jan-15,2871,1876,8478,3605,10340,3145,21689,8626
28-Jan-15,2917,1910,8622,3686,10518,3199,22057,8795
4-Feb-15,2975,1944,8745,3746,10740,3276,22460,8966
11-Feb-15,3044,1995,8881,3826,10934,3341,22859,9162
18-Feb-15,3108,2057,9007,3900,11103,3408,23218,9365
25-Feb-15,3155,2091,9238,4037,11301,3461,23694,9589
4-Mar-15,3219,2129,9249,4117,11466,3546,23934,9792
11-Mar-15,3285,2170,9343,4162,11619,3629,24247,9961
18-Mar-15,3389,2224,9526,4264,11751,3691,24666,10179
25-Mar-15,3429,2263,9602,4301,11841,3747,24872,10311
26-Mar-15,3459,2273,9602,4301,11866,3764,24927,10338
27-Mar-15,3466,2276,9602,4301,11889,3773,24957,10350
30-Mar-15,3485,2305,9602,4301,11943,3792,25030,10398
31-Mar-15,3492,2314,9712,4332,11974,3799,25178,10445
1-Apr-15,3492,2314,9712,4332,11974,3799,25178,10445
2-Apr-15,3494,2320,9712,4332,12022,3810,25228,10462
7-Apr-15,3515,2333,9862,4408,12139,3832,25516,10573
8-Apr-15,3515,2333,9862,4408,12138,3831,25515,10572
9-Apr-15,3515,2335,9862,4408,12155,3841,25532,10584
10-Apr-15,3524,2337,9862,4408,12170,3842,25556,10587
13-Apr-15,3541,2342,9862,4408,12188,3854,25591,10604
14-Apr-15,3548,2346,9862,4408,12201,3857,25611,10611
15-Apr-15,3548,2346,10042,4486,12201,3857,25791,10689
16-Apr-15,3566,2348,10042,4486,12223,3865,25831,10699
17-Apr-15,3569,2351,10042,4486,12244,3865,25855,10702
18-Apr-15,3565,2357,10042,4486,12256,3872,25863,10715
19-Apr-15,3565,2358,10212,4573,12267,3877,26044,10808
19-Apr-15,3565,2358,10042,4486,12256,3877,25872,10721
21-Apr-15,3568,2362,10212,4573,12294,3885,26074,10820
22-Apr-15,3576,2365,10212,4573,12313,3886,26101,10824
24-Apr-15,3585,2374,10212,4573,12362,3895,26159,10842
26-Apr-15,3584,2377,10322,4608,12371,3899,26277,10884
28-Apr-15,3581,2381,10322,4608,12387,3901,26290,10890
29-Apr-15,3578,2383,10322,4608,12398,3901,26298,10892
2-May-15,3591,2385,10322,4608,12426,3902,26339,10895
3-May-15,3589,2386,10564,4716,12440,3903,26593,11005
3-May-15,3589,2386,10507,4691,12440,3903,26536,10980
5-May-15,3592,2387,10564,4716,12470,3904,26626,11007
6-May-15,3592,2387,10564,4716,12492,3904,26648,11007
9-May-15,3599,2391,10604,4769,12519,3904,26722,11064
10-May-15,3597,2392,10604,4769,12523,3904,26724,11065
12-May-15,3615,2399,10604,4769,12536,3904,26755,11072
13-May-15,3619,2401,10604,4769,12540,3904,26763,11074
16-May-15,3626,2405,10666,4806,12593,3906,26885,11117
19-May-15,3649,2409,10666,4806,12656,3907,26971,11122
20-May-15,3647,2412,10666,4806,12666,3907,26979,11125
24-May-15,3641,2420,10666,4806,12706,3908,27013,11134
26-May-15,3639,2423,10666,4806,12735,3911,27040,11140
27-May-15,3644,2425,10666,4806,12745,3911,27055,11142
30-May-15,3653,2428,10666,4806,12816,3911,27135,11145
31-May-15,3652,2429,10666,4806,12827,3912,27145,11147
4-Jun-15,3657,2431,10666,4806,12850,3912,27173,11149
5-Jun-15,3664,2431,10666,4806,12859,3912,27189,11149
6-Jun-15,3669,2435,10666,4806,12884,3913,27219,11154
7-Jun-15,3670,2437,10666,4806,12901,3915,27237,11158
9-Jun-15,3674,2440,10666,4806,12911,3917,27251,11163
10-Jun-15,3677,2440,10666,4806,12932,3917,27275,11163
13-Jun-15,3677,2443,10666,4806,12962,3919,27305,11168
14-Jun-15,3678,2444,10666,4806,12965,3919,27309,11169
16-Jun-15,3675,2445,10666,4806,12990,3922,27331,11173
17-Jun-15,3674,2446,10666,4806,13012,3926,27352,11178
21-Jun-15,3718,2473,10666,4806,13059,3928,27443,11207
23-Jun-15,3718,2480,10666,4806,13083,3931,27467,11217
24-Jun-15,3720,2480,10666,4806,13093,3931,24479,11217
29-Jun-15,3724,2482,10666,4806,13115,3932,27505,11220
30-Jun-15,3745,2490,10666,4806,13129,3933,27540,11229
30-Jun-15,3729,2482,10666,4806,13119,3932,27514,11220
3-Jul-15,3750,2492,10706,4811,13135,3935,27591,11238
4-Jul-15,3744,2492,10670,4807,13150,3940,27564,11245
5-Jul-15,3748,2499,10670,4807,13155,3940,27573,11246
8-Jul-15,3748,2499,10670,4807,13155,3940,27573,11246
9-Jul-15,3744,2505,10672,4807,13169,3941,27585,11253
10-Jul-15,3751,2505,10672,4807,13177,3941,27600,11253
13-Jul-15,3754,2506,10672,4807,13201,3946,27627,11259
14-Jul-15,3760,2506,10673,4808,13209,3947,27642,11261
15-Jul-15,3760,2506,10673,4808,13209,3947,27642,11261
16-Jul-15,3762,2506,10672,4808,13209,3947,27643,11261
17-Jul-15,3770,2509,10673,4808,13209,3947,27652,11264
20-Jul-15,3784,2511,10673,4808,13241,3949,27698,11268
21-Jul-15,3783,2512,10673,4808,13250,3949,27706,11269
22-Jul-15,3783,2512,10672,4808,13250,3949,27705,11269
23-Jul-15,3788,2516,10673,4808,13262,3949,27723,11273
24-Jul-15,3787,2517,10673,4808,13264,3949,27724,11274
27-Jul-15,3792,2519,10673,4808,13284,3951,27749,11278
28-Jul-15,3786,2520,10673,4808,13291,3951,27750,11279
29-Jul-15,3786,2520,10672,4808,13290,3951,27748,11279
30-Jul-15,3785,2521,10672,4808,13379,3951,27836,11280
31-Jul-15,3781,2521,10672,4808,13387,3951,27840,11280
3-Aug-15,3786,2522,10672,4808,13402,3951,27860,11281
4-Aug-15,3784,2522,10672,4808,13406,3951,27862,11281
5-Aug-15,3784,2522,10672,4808,13406,3951,27862,11281
6-Aug-15,3792,2524,10672,4808,13426,3951,27890,11283
7-Aug-15,3795,2524,10672,4808,13428,3951,27895,11283
10-Aug-15,3791,2524,10672,4808,13465,3951,27928,11283
11-Aug-15,3787,2524,10672,4808,13470,3951,27929,11283
13-Aug-15,3792,2524,10672,4808,13484,3951,27948,11283
14-Aug-15,3791,2524,10672,4808,13485,3952,27948,11284
17-Aug-15,3790,2524,10672,4808,13489,3952,27951,11284
18-Aug-15,3786,2524,10672,4808,13494,3952,27952,11284
20-Aug-15,3792,2526,10672,4808,13518,3952,27982,11286
21-Aug-15,3795,2526,10672,4808,13533,3952,28000,11286
24-Aug-15,3790,2527,10672,4808,13538,3952,28000,11287
25-Aug-15,3792,2527,10672,4808,13541,3952,28005,11287
27-Aug-15,3797,2528,10672,4808,13582,3952,28051,11288
28-Aug-15,3797,2528,10672,4808,13586,3952,28055,11288
31-Aug-15,3790,2528,10672,4808,13603,3953,28065,11289
1-Sep-15,3792,2529,10672,4808,13609,3953,28073,11290
3-Sep-15,3792,2529,10672,4808,13638,3953,28102,11290
4-Sep-15,3792,2529,10672,4808,13639,3953,28103,11290
8-Sep-15,3792,2530,10672,4808,13683,3953,28147,11291
10-Sep-15,3791,2530,10672,4808,13697,3953,28160,11291
11-Sep-15,3791,2530,10672,4808,13701,3953,28164,11291
14-Sep-15,3793,2530,10672,4808,13747,3953,28212,11291
15-Sep-15,3792,2530,10672,4808,13756,3953,28220,11291
17-Sep-15,3794,2530,10672,4808,13573,3955,28245,11293
18-Sep-15,3794,2531,10672,4808,13785,3955,28251,11294
21-Sep-15,3797,2532,10672,4808,13811,3955,28280,11295
22-Sep-15,3800,2532,10672,4808,13823,3955,28295,11295
24-Sep-15,3801,2533,10672,4808,13846,3955,28319,11296
28-Sep-15,3805,2533,10672,4808,13894,3955,28371,11296
29-Sep-15,3805,2533,10672,4808,13911,3955,28388,11296
1-Oct-15,3808,2533,10672,4808,13928,3955,28408,11296
2-Oct-15,3809,2533,10672,4808,13931,3955,28412,11296
5-Oct-15,3804,2534,10672,4808,13941,3955,28417,11297
7-Oct-15,3804,2534,10672,4808,13945,3955,28421,11297
8-Oct-15,3799,2534,10672,4808,13956,3955,28427,11297
9-Oct-15,3800,2534,10672,4808,13957,3955,28429,11297
12-Oct-15,3798,2534,10672,4808,13978,3955,28448,11297
13-Oct-15,3800,2534,10672,4808,13982,3955,28454,11297
15-Oct-15,3802,2534,10672,4808,13992,3955,28466,11297
16-Oct-15,3804,2535,10672,4808,13992,3955,28468,11298
19-Oct-15,3806,2535,10672,4808,13999,3955,28513,11298
20-Oct-15,3803,2535,10672,4808,14001,3955,28476,11298
22-Oct-15,3801,2535,10672,4808,14031,3955,28504,11298
23-Oct-15,3801,2535,10672,4808,14038,3955,28511,11298
26-Oct-15,3804,2535,10672,4808,14052,3955,28528,11298
27-Oct-15,3806,2535,10672,4808,14061,3955,28539,11298
29-Oct-15,3808,2536,10672,4808,14066,3955,28546,11299
30-Oct-15,3808,2536,10672,4808,14067,3955,28547,11299
2-Nov-15,3808,2536,10672,4808,14078,3955,28558,11299
3-Nov-15,3810,2536,10672,4808,14089,3955,28571,11299
5-Nov-15,3805,2536,10672,4808,14104,3955,28581,11299
6-Nov-15,3805,2536,10672,4808,14109,3955,28586,11299
9-Nov-15,3806,2536,10672,4808,14122,3955,28600,11299
10-Nov-15,3805,2536,10672,4808,14122,3955,28599,11299
12-Nov-15,3805,2536,10672,4808,14122,3955,28599,11299
16-Nov-15,3805,2536,10672,4808,14122,3955,28599,11299
17-Nov-15,3404,2536,10672,4808,14122,3955,28598,11299
18-Nov-15,3804,2536,10672,4808,14122,3955,28598,11299
19-Nov-15,3806,2536,10672,4808,14122,3955,28600,11299
20-Nov-15,3804,2536,10672,4808,14122,3955,28598,11299
23-Nov-15,3804,2536,10672,4808,14122,3955,28598,11299
24-Nov-15,3804,2536,10672,4808,14122,3955,28598,11299
25-Nov-15,3804,2536,10675,4808,14122,3955,28601,11299
26-Nov-15,3804,2536,10675,4808,14122,3955,28601,11299
27-Nov-15,3804,2536,10675,4808,14122,3955,28601,11299
30-Nov-15,3804,2536,10675,4808,14122,3955,28601,11299
1-Dec-15,3804,2536,10675,4808,14122,3955,28601,11299
2-Dec-15,3804,2536,10675,4809,14122,3955,28601,11300
3-Dec-15,3805,2536,10675,4809,14122,3955,28602,11300
4-Dec-15,3805,2536,10675,4809,14122,3955,28602,11300
7-Dec-15,3804,2536,10675,4809,14122,3955,28601,11300
8-Dec-15,3804,2536,10675,4809,14122,3955,28601,11300
9-Dec-15,3804,2536,10675,4809,14122,3955,28601,11300
10-Dec-15,3804,2536,10675,4809,14122,3955,28601,11300
11-Dec-15,3804,2536,10675,4809,14122,3955,28601,11300
14-Dec-15,3806,2536,10675,4809,14122,3955,28603,11300
15-Dec-15,3807,2536,10675,4809,14122,3955,28604,11300
16-Dec-15,3807,2536,10675,4809,14122,3955,28604,11300
17-Dec-15,3805,2536,10675,4809,14122,3955,28602,11300
18-Dec-15,3804,2536,10675,4809,14122,3955,28601,11300
21-Dec-15,3804,2536,10675,4809,14122,3955,28601,11300
22-Dec-15,3804,2536,10675,4809,14122,3955,28601,11300
23-Dec-15,3804,2536,10675,4809,14122,3955,28601,11300
24-Dec-15,3804,2536,10675,4809,14122,3955,28601,11300
25-Dec-15,3805,2536,10675,4809,14122,3955,28602,11300
28-Dec-15,3804,2536,10675,4809,14122,3955,28601,11300
29-Dec-15,3804,2536,10675,4809,14122,3955,28601,11300
30-Dec-15,3804,2536,10675,4809,14122,3955,28601,11300
6-Jan-16,3804,2536,10675,4809,14122,3955,28601,11300
13-Jan-16,3804,2536,10675,4809,14122,3955,28601,11300
20-Jan-16,3804,2536,10675,4809,14123,3956,28602,11301
27-Jan-16,3804,2536,10675,4809,14124,3956,28603,11301
3-Feb-16,3804,2536,10675,4809,14124,3956,28603,11301
10-Feb-16,3804,2536,10675,4809,14124,3956,28603,11301
17-Feb-16,3804,2536,10675,4809,14124,3956,28603,11301
3-Mar-16,3804,2536,10675,4809,14124,3956,28603,11301
Date,3814,2544,10678,4810,14124,3956,28616,11310
Date,3811,2543,10675,4809,14124,3956,28610,11308
Date,3809,2540,10675,4809,14124,3956,28608,11305
